Enfermedad Rara,VIVOS,,
,Hombre,Mujer,Total
Ataxia de Friedreich,243,291,534
Atrofia muscular espinal proximal,187,153,340
Complejo Esclerosis Tuberosa,694,746,1.440
Displasia Renal,828,497,1.325
Distrofia miotónica de Steinert,1.346,1.421,2.767
Enfermedad de Fabry,135,110,245
Enfermedad de Gaucher,93,70,163
Enfermedad de Huntington,672,842,1.514
Enfermedad de Niemann Pick,38,25,63
Enfermedad de Rendu Osler,474,650,1.124
Enfermedad de Wilson,408,344,752
Esclerosis lateral amiotrófica,1.235,954,2.189
Fenilcetonuria,513,650,1.163
Fibrosis quística,1.292,1.258,2.550
Hemofilia A,2.410,292,2.702
Osteogénesis imperfecta,396,455,851
Síndrome de Angelman,143,147,290
Síndrome de Beckwith Wiedemann,194,168,362
Síndrome de Goodpasture,188,203,391
Síndrome de Marfan,702,624,1.326
Síndrome de Prader Willi,300,293,593
Síndrome de X frágil,619,186,805
Total general,13.110,10.379,23.489
